time,temperature_2m_mean,apparent_temperature_mean,windspeed_10m_max,et0_fao_evapotranspiration,elevation,city,precipitation_hours,shortwave_radiation_sum,rain_sum
2019-01-01,26.1,28.7,14.4,4.58,16.0,Colombo,0.0,19.77,0.0
2019-01-02,25.7,27.3,16.6,5.19,16.0,Colombo,0.0,21.45,0.0
2019-01-03,26.1,27.8,16.0,5.21,16.0,Colombo,0.0,21.68,0.0
2019-01-04,26.0,27.6,16.9,5.22,16.0,Colombo,0.0,22.95,0.0
2019-01-05,26.4,28.9,16.8,5.01,16.0,Colombo,0.0,21.65,0.0
2019-01-06,26.2,28.2,16.0,4.75,16.0,Colombo,0.0,21.52,0.0
2019-01-07,26.8,29.9,12.0,4.54,16.0,Colombo,0.0,20.07,0.0
2019-01-08,27.4,30.1,13.7,4.9,16.0,Colombo,0.0,21.04,0.0
2019-01-09,27.6,30.8,10.2,4.71,16.0,Colombo,0.0,21.13,0.0
2019-01-10,27.7,31.3,10.3,4.46,16.0,Colombo,2.0,20.01,0.3
2019-01-11,27.6,30.5,13.4,4.62,16.0,Colombo,9.0,19.08,9.6
2019-01-12,27.3,30.4,13.5,3.97,16.0,Colombo,5.0,16.6,0.8
2019-01-13,26.9,30.7,13.0,3.89,16.0,Colombo,6.0,16.89,7.6
2019-01-14,27.1,30.7,14.9,3.99,16.0,Colombo,5.0,17.81,6.2
2019-01-15,27.4,30.6,13.7,4.45,16.0,Colombo,2.0,18.48,0.5
2019-01-16,27.2,30.1,16.7,4.52,16.0,Colombo,2.0,18.72,0.7
2019-01-17,26.7,27.8,18.6,5.94,16.0,Colombo,0.0,23.92,0.0
2019-01-18,26.2,27.0,16.1,5.73,16.0,Colombo,0.0,22.11,0.0
2019-01-19,26.1,27.2,16.2,5.74,16.0,Colombo,0.0,22.66,0.0
2019-01-20,26.4,28.6,15.1,4.33,16.0,Colombo,0.0,19.13,0.0
2019-01-21,26.6,29.8,10.1,4.62,16.0,Colombo,0.0,21.11,0.0
2019-01-22,27.1,30.4,12.6,5.23,16.0,Colombo,0.0,23.63,0.0
2019-01-23,27.8,31.1,11.4,5.24,16.0,Colombo,0.0,23.94,0.0
2019-01-24,27.7,31.5,11.2,4.82,16.0,Colombo,0.0,21.7,0.0
2019-01-25,27.7,32.5,10.3,4.42,16.0,Colombo,1.0,20.38,0.1
2019-01-26,27.8,32.4,12.1,4.59,16.0,Colombo,7.0,20.93,1.4
2019-01-27,26.9,31.5,10.9,4.3,16.0,Colombo,12.0,20.36,2.5
2019-01-28,26.9,30.8,14.5,4.47,16.0,Colombo,2.0,20.63,0.3
2019-01-29,28.2,30.7,10.0,5.33,16.0,Colombo,0.0,23.76,0.0
2019-01-30,28.2,30.4,14.9,5.68,16.0,Colombo,0.0,23.01,0.0
2019-01-31,28.8,31.8,9.8,5.54,16.0,Colombo,0.0,23.84,0.0
2019-02-01,28.7,31.9,14.2,5.61,16.0,Colombo,0.0,24.31,0.0
2019-02-02,28.4,31.9,11.4,4.86,16.0,Colombo,1.0,20.89,0.1
2019-02-03,28.3,32.5,9.1,4.27,16.0,Colombo,7.0,18.98,4.8
2019-02-04,26.5,31.6,7.3,3.31,16.0,Colombo,10.0,15.63,26.3
2019-02-05,26.3,31.6,6.5,3.39,16.0,Colombo,11.0,16.28,11.5
2019-02-06,26.7,31.8,7.6,3.66,16.0,Colombo,9.0,17.78,7.3
2019-02-07,26.8,32.2,8.4,4.13,16.0,Colombo,2.0,20.34,1.3
2019-02-08,26.2,31.7,13.8,3.7,16.0,Colombo,10.0,18.76,17.2
2019-02-09,25.7,30.8,14.0,3.24,16.0,Colombo,15.0,16.29,16.1
2019-02-10,26.7,32.3,12.0,4.22,16.0,Colombo,5.0,21.32,3.3
2019-02-11,27.5,31.7,10.7,4.54,16.0,Colombo,0.0,21.24,0.0
2019-02-12,27.6,31.3,14.9,4.84,16.0,Colombo,3.0,21.27,0.4
2019-02-13,27.6,31.4,14.7,4.56,16.0,Colombo,1.0,20.91,0.3
2019-02-14,27.3,32.2,13.2,4.16,16.0,Colombo,1.0,19.56,0.2
2019-02-15,26.8,32.4,8.0,4.25,16.0,Colombo,4.0,20.53,5.0
2019-02-16,26.5,32.2,13.1,3.81,16.0,Colombo,9.0,19.02,14.9
2019-02-17,26.8,32.3,11.4,3.57,16.0,Colombo,6.0,18.01,7.7
2019-02-18,27.1,32.8,10.0,4.28,16.0,Colombo,8.0,21.28,1.8
2019-02-19,27.7,33.7,9.4,4.61,16.0,Colombo,11.0,21.99,1.3
2019-02-20,27.7,32.7,8.0,4.72,16.0,Colombo,4.0,22.24,0.5
2019-02-21,27.8,31.4,11.0,5.23,16.0,Colombo,0.0,23.07,0.0
2019-02-22,27.6,31.7,12.1,4.99,16.0,Colombo,0.0,23.61,0.0
2019-02-23,27.1,30.8,10.5,4.29,16.0,Colombo,1.0,19.14,0.1
2019-02-24,26.8,31.6,10.7,4.1,16.0,Colombo,2.0,19.66,0.3
2019-02-25,27.8,33.4,7.2,4.79,16.0,Colombo,6.0,22.89,1.3
2019-02-26,27.6,32.8,13.7,4.58,16.0,Colombo,13.0,21.74,26.3
2019-02-27,26.7,31.5,15.4,2.87,16.0,Colombo,10.0,12.75,10.4
2019-02-28,27.3,32.0,14.6,4.06,16.0,Colombo,0.0,19.25,0.0
2019-03-01,28.2,33.3,10.1,4.71,16.0,Colombo,3.0,21.74,0.4
2019-03-02,28.6,33.2,12.9,5.44,16.0,Colombo,2.0,24.28,0.6
2019-03-03,28.1,33.0,8.4,4.71,16.0,Colombo,12.0,21.54,4.9
2019-03-04,27.3,31.4,12.2,3.12,16.0,Colombo,5.0,12.83,1.4
2019-03-05,28.1,32.8,11.4,4.77,16.0,Colombo,0.0,21.99,0.0
2019-03-06,28.1,33.0,11.9,4.45,16.0,Colombo,2.0,20.3,0.3
2019-03-07,28.5,32.9,12.5,4.75,16.0,Colombo,1.0,20.44,0.2
2019-03-08,28.7,33.5,14.0,4.9,16.0,Colombo,0.0,22.02,0.0
2019-03-09,27.6,32.5,11.5,4.57,16.0,Colombo,8.0,21.5,5.2
2019-03-10,28.6,33.4,11.7,5.34,16.0,Colombo,0.0,24.35,0.0
2019-03-11,28.3,32.9,12.3,5.13,16.0,Colombo,3.0,23.26,0.5
2019-03-12,27.5,32.5,9.3,5.03,16.0,Colombo,6.0,24.19,0.9
2019-03-13,28.2,33.3,8.7,4.64,16.0,Colombo,2.0,21.66,0.4
2019-03-14,29.2,33.9,10.7,5.16,16.0,Colombo,0.0,22.24,0.0
2019-03-15,28.7,33.3,13.1,4.84,16.0,Colombo,2.0,21.12,0.3
2019-03-16,28.3,33.2,10.0,4.9,16.0,Colombo,6.0,22.63,1.9
2019-03-17,27.4,32.6,11.0,4.32,16.0,Colombo,11.0,20.17,17.7
2019-03-18,27.2,32.6,8.4,4.41,16.0,Colombo,6.0,20.75,15.0
2019-03-19,28.1,33.8,9.2,4.96,16.0,Colombo,0.0,23.27,0.0
2019-03-20,28.2,33.8,8.7,5.25,16.0,Colombo,2.0,24.92,0.2
2019-03-21,27.7,33.4,9.7,4.7,16.0,Colombo,6.0,22.59,7.9
2019-03-22,28.4,34.3,10.1,5.17,16.0,Colombo,2.0,24.66,0.5
2019-03-23,27.8,33.5,9.7,4.4,16.0,Colombo,7.0,21.1,6.2
2019-03-24,28.7,34.2,11.0,5.22,16.0,Colombo,0.0,24.2,0.0
2019-03-25,29.2,34.5,16.5,5.93,16.0,Colombo,2.0,26.27,0.2
2019-03-26,28.9,33.8,13.0,5.39,16.0,Colombo,4.0,24.43,0.5
2019-03-27,28.9,33.7,15.9,5.45,16.0,Colombo,1.0,24.67,0.1
2019-03-28,29.0,33.5,13.1,5.67,16.0,Colombo,0.0,24.9,0.0
2019-03-29,28.9,33.5,15.1,5.66,16.0,Colombo,0.0,25.1,0.0
2019-03-30,28.6,33.5,12.7,5.03,16.0,Colombo,2.0,22.7,0.7
2019-03-31,29.0,33.5,15.4,5.47,16.0,Colombo,0.0,23.82,0.0
2019-04-01,28.8,33.2,16.4,5.77,16.0,Colombo,0.0,25.24,0.0
2019-04-02,29.0,33.3,14.2,5.57,16.0,Colombo,0.0,23.99,0.0
2019-04-03,29.3,33.3,14.1,5.92,16.0,Colombo,1.0,24.61,0.3
2019-04-04,29.5,33.5,14.5,6.06,16.0,Colombo,0.0,25.62,0.0
2019-04-05,29.4,34.1,14.5,5.86,16.0,Colombo,1.0,26.19,0.6
2019-04-06,29.6,34.2,14.9,5.38,16.0,Colombo,0.0,22.6,0.0
2019-04-07,29.6,34.4,13.0,4.64,16.0,Colombo,6.0,19.92,1.0
2019-04-08,29.9,34.4,13.8,5.28,16.0,Colombo,2.0,21.95,0.2
2019-04-09,29.7,34.8,14.8,5.15,16.0,Colombo,4.0,22.78,1.2
2019-04-10,29.4,34.9,13.7,4.34,16.0,Colombo,5.0,19.58,3.7
2019-04-11,28.3,34.1,11.7,4.23,16.0,Colombo,6.0,19.77,5.5
2019-04-12,29.3,35.1,11.0,4.96,16.0,Colombo,5.0,22.55,1.0
2019-04-13,28.9,34.5,11.4,4.81,16.0,Colombo,5.0,22.26,4.0
2019-04-14,28.9,34.4,9.8,4.95,16.0,Colombo,5.0,22.53,1.6
2019-04-15,28.8,34.5,10.3,5.01,16.0,Colombo,7.0,23.24,4.8
2019-04-16,27.8,33.7,12.1,4.04,16.0,Colombo,14.0,19.43,27.5
2019-04-17,27.3,32.8,16.8,3.28,16.0,Colombo,6.0,15.9,2.7
2019-04-18,27.6,33.6,13.0,3.88,16.0,Colombo,6.0,18.66,7.1
2019-04-19,27.3,33.1,13.8,4.2,16.0,Colombo,12.0,20.74,9.5
2019-04-20,27.0,32.6,12.0,3.89,16.0,Colombo,15.0,18.92,23.6
2019-04-21,27.7,33.7,9.4,2.75,16.0,Colombo,7.0,12.66,1.4
2019-04-22,28.0,34.0,13.6,3.54,16.0,Colombo,11.0,16.78,7.0
2019-04-23,27.7,34.1,12.1,3.82,16.0,Colombo,6.0,18.56,4.7
2019-04-24,28.8,35.1,6.0,4.6,16.0,Colombo,3.0,21.68,0.8
2019-04-25,27.7,33.8,13.0,3.67,16.0,Colombo,10.0,17.79,6.4
2019-04-26,27.8,33.8,8.4,2.6,16.0,Colombo,9.0,11.81,4.4
2019-04-27,27.6,33.9,9.5,2.56,16.0,Colombo,5.0,11.77,1.7
2019-04-28,27.5,33.6,12.9,3.18,16.0,Colombo,15.0,15.78,5.7
2019-04-29,26.6,32.0,12.0,2.58,16.0,Colombo,22.0,12.36,14.8
2019-04-30,27.3,32.4,16.8,2.58,16.0,Colombo,19.0,11.84,11.6
2019-05-01,27.9,33.0,20.7,3.32,16.0,Colombo,17.0,16.03,5.8
2019-05-02,27.4,32.9,14.1,2.82,16.0,Colombo,16.0,13.74,4.9
2019-05-03,26.6,31.6,16.1,1.73,16.0,Colombo,20.0,7.76,15.8
2019-05-04,27.9,33.4,14.7,3.35,16.0,Colombo,12.0,15.44,4.1
2019-05-05,28.2,33.4,15.0,4.1,16.0,Colombo,3.0,19.1,0.5
2019-05-06,27.8,32.5,14.5,4.67,16.0,Colombo,0.0,22.06,0.0
2019-05-07,27.8,32.7,14.1,3.73,16.0,Colombo,11.0,17.05,2.6
2019-05-08,28.3,33.0,17.6,4.87,16.0,Colombo,2.0,22.71,0.5
2019-05-09,28.4,33.0,16.9,4.35,16.0,Colombo,0.0,19.25,0.0
2019-05-10,28.3,33.3,18.6,3.86,16.0,Colombo,8.0,17.74,1.5
2019-05-11,28.2,33.3,16.6,4.28,16.0,Colombo,15.0,20.23,2.8
2019-05-12,27.3,33.1,14.0,3.28,16.0,Colombo,15.0,16.22,4.5
2019-05-13,27.8,33.6,15.4,4.17,16.0,Colombo,17.0,20.86,4.0
2019-05-14,27.8,33.8,13.6,4.09,16.0,Colombo,12.0,20.41,3.7
2019-05-15,28.1,33.8,17.8,4.38,16.0,Colombo,13.0,21.28,3.5
2019-05-16,27.3,32.7,16.0,3.32,16.0,Colombo,16.0,16.47,4.2
2019-05-17,27.3,32.9,13.2,3.63,16.0,Colombo,8.0,18.17,2.2
2019-05-18,26.9,32.2,15.7,3.59,16.0,Colombo,10.0,17.99,3.1
2019-05-19,27.6,33.2,12.7,3.98,16.0,Colombo,6.0,19.79,2.1
2019-05-20,27.9,33.3,14.2,4.12,16.0,Colombo,8.0,19.7,1.3
2019-05-21,27.4,32.6,14.5,3.65,16.0,Colombo,13.0,17.84,3.5
2019-05-22,27.7,32.6,15.6,4.25,16.0,Colombo,6.0,20.05,0.9
2019-05-23,27.2,31.8,15.9,3.61,16.0,Colombo,11.0,16.96,2.8
2019-05-24,27.1,32.0,14.1,2.67,16.0,Colombo,18.0,12.0,10.5
2019-05-25,27.2,32.2,20.1,3.0,16.0,Colombo,12.0,14.56,7.7
2019-05-26,28.1,33.2,13.9,4.22,16.0,Colombo,3.0,19.69,1.2
2019-05-27,28.0,33.4,16.0,4.05,16.0,Colombo,13.0,19.56,2.7
2019-05-28,27.8,33.5,15.0,3.75,16.0,Colombo,16.0,18.55,4.3
2019-05-29,27.2,33.0,15.8,2.98,16.0,Colombo,13.0,14.68,10.0
2019-05-30,27.5,32.5,16.6,3.75,16.0,Colombo,18.0,17.8,7.5
2019-05-31,27.6,32.8,17.7,3.43,16.0,Colombo,4.0,16.95,0.6
2019-06-01,28.4,33.6,15.6,4.45,16.0,Colombo,4.0,21.07,0.6
2019-06-02,27.5,32.9,15.6,3.55,16.0,Colombo,14.0,17.76,3.2
2019-06-03,27.1,32.9,18.4,3.22,16.0,Colombo,14.0,16.16,7.6
2019-06-04,27.0,32.2,16.9,3.11,16.0,Colombo,20.0,15.41,14.2
2019-06-05,26.9,31.9,19.4,3.08,16.0,Colombo,23.0,15.35,18.9
2019-06-06,27.0,32.3,14.1,3.12,16.0,Colombo,22.0,15.09,17.0
2019-06-07,26.8,31.9,18.0,2.85,16.0,Colombo,21.0,13.65,15.9
2019-06-08,27.7,32.3,19.6,3.23,16.0,Colombo,16.0,14.28,5.0
2019-06-09,26.8,31.5,22.2,2.96,16.0,Colombo,23.0,15.2,16.2
2019-06-10,27.4,32.1,18.6,3.19,16.0,Colombo,9.0,15.04,4.9
2019-06-11,27.8,32.8,17.7,3.87,16.0,Colombo,11.0,18.87,3.2
2019-06-12,27.7,33.2,18.8,3.11,16.0,Colombo,20.0,15.3,11.3
2019-06-13,27.0,32.6,16.2,2.91,16.0,Colombo,21.0,14.55,20.5
2019-06-14,27.4,33.3,14.4,3.32,16.0,Colombo,14.0,16.51,5.7
2019-06-15,27.4,33.0,14.5,3.35,16.0,Colombo,21.0,16.51,8.9
2019-06-16,27.8,33.6,15.7,3.24,16.0,Colombo,14.0,15.95,7.8
2019-06-17,28.0,33.5,17.0,3.25,16.0,Colombo,16.0,15.43,10.4
2019-06-18,27.9,32.9,17.4,3.47,16.0,Colombo,19.0,16.47,6.4
2019-06-19,28.0,32.9,20.5,3.79,16.0,Colombo,17.0,18.23,5.6
2019-06-20,27.4,31.9,22.0,3.21,16.0,Colombo,21.0,15.26,12.2
2019-06-21,27.5,31.9,20.5,3.18,16.0,Colombo,19.0,14.6,7.1
2019-06-22,27.1,31.9,21.1,2.99,16.0,Colombo,20.0,14.78,16.1
2019-06-23,27.7,32.6,21.3,3.58,16.0,Colombo,15.0,17.15,3.5
2019-06-24,27.7,33.1,17.5,3.81,16.0,Colombo,12.0,19.26,3.0
2019-06-25,27.3,32.4,16.8,2.94,16.0,Colombo,10.0,14.32,3.2
2019-06-26,27.8,32.4,21.7,3.83,16.0,Colombo,18.0,18.26,2.7
2019-06-27,27.7,32.1,19.5,3.77,16.0,Colombo,15.0,17.73,3.7
2019-06-28,27.8,32.3,19.4,4.12,16.0,Colombo,13.0,19.29,1.6
2019-06-29,27.8,32.4,21.0,4.21,16.0,Colombo,12.0,20.62,2.5
2019-06-30,27.9,32.6,21.3,3.96,16.0,Colombo,17.0,19.06,3.1
2019-07-01,27.8,32.1,20.6,3.93,16.0,Colombo,12.0,18.46,2.3
2019-07-02,27.5,32.3,19.9,3.32,16.0,Colombo,6.0,16.39,2.0
2019-07-03,27.4,32.3,18.5,3.67,16.0,Colombo,12.0,18.32,2.6
2019-07-04,27.4,32.4,17.7,3.49,16.0,Colombo,8.0,16.72,1.8
2019-07-05,27.8,32.6,19.0,3.96,16.0,Colombo,8.0,19.26,1.5
2019-07-06,27.9,33.1,16.6,3.85,16.0,Colombo,13.0,18.57,2.0
2019-07-07,27.8,33.1,16.2,4.2,16.0,Colombo,12.0,20.28,2.3
2019-07-08,27.5,32.8,14.7,4.0,16.0,Colombo,17.0,19.41,3.5
2019-07-09,26.7,31.9,14.0,3.44,16.0,Colombo,15.0,17.52,5.4
2019-07-10,26.5,31.8,18.8,3.58,16.0,Colombo,13.0,18.39,6.4
2019-07-11,27.4,32.9,13.9,3.77,16.0,Colombo,10.0,18.32,2.9
2019-07-12,26.7,32.2,13.4,3.89,16.0,Colombo,13.0,20.01,3.8
2019-07-13,26.8,31.8,13.7,3.87,16.0,Colombo,11.0,19.83,4.2
2019-07-14,26.4,31.8,14.2,3.83,16.0,Colombo,11.0,19.87,5.0
2019-07-15,27.1,31.8,20.5,3.9,16.0,Colombo,15.0,19.44,2.7
2019-07-16,27.2,32.2,18.0,3.32,16.0,Colombo,13.0,16.3,6.2
2019-07-17,27.2,31.2,22.0,3.46,16.0,Colombo,24.0,15.65,20.6
2019-07-18,26.5,28.9,33.0,3.16,16.0,Colombo,23.0,14.4,33.3
2019-07-19,27.1,29.9,27.1,3.88,16.0,Colombo,14.0,16.68,4.0
2019-07-20,26.9,31.3,22.7,3.32,16.0,Colombo,17.0,16.07,6.4
2019-07-21,26.6,31.5,18.0,3.19,16.0,Colombo,20.0,16.26,15.1
2019-07-22,27.1,31.1,19.1,3.64,16.0,Colombo,5.0,16.4,1.5
2019-07-23,27.0,31.9,18.1,4.19,16.0,Colombo,3.0,21.59,0.5
2019-07-24,26.8,31.6,16.1,3.94,16.0,Colombo,13.0,19.96,4.0
2019-07-25,26.1,30.9,16.4,3.03,16.0,Colombo,23.0,15.73,10.6
2019-07-26,26.6,32.0,13.4,3.39,16.0,Colombo,9.0,17.21,2.9
2019-07-27,27.1,31.7,15.5,3.86,16.0,Colombo,0.0,18.75,0.0
2019-07-28,27.2,31.7,17.5,3.98,16.0,Colombo,5.0,19.66,0.8
2019-07-29,27.0,31.5,16.1,4.13,16.0,Colombo,6.0,20.38,1.0
2019-07-30,27.1,32.0,13.3,4.02,16.0,Colombo,4.0,19.8,0.9
2019-07-31,27.2,32.1,16.5,3.79,16.0,Colombo,9.0,18.41,1.7
2019-08-01,26.3,31.4,14.3,2.99,16.0,Colombo,17.0,15.58,5.1
2019-08-02,26.8,31.8,16.0,3.29,16.0,Colombo,11.0,16.84,3.2
2019-08-03,27.0,32.3,15.8,3.68,16.0,Colombo,12.0,18.44,2.9
2019-08-04,26.7,32.2,13.7,3.23,16.0,Colombo,12.0,16.52,2.2
2019-08-05,26.8,31.5,18.9,3.3,16.0,Colombo,15.0,16.56,3.5
2019-08-06,26.8,31.7,15.5,3.29,16.0,Colombo,17.0,16.51,4.0
2019-08-07,26.8,31.5,18.3,3.44,16.0,Colombo,18.0,17.66,13.6
2019-08-08,25.9,30.8,20.3,2.15,16.0,Colombo,21.0,10.86,12.3
2019-08-09,26.2,31.4,16.2,2.68,16.0,Colombo,23.0,13.51,10.4
2019-08-10,26.0,31.3,25.2,1.99,16.0,Colombo,21.0,10.13,29.5
2019-08-11,26.8,31.9,18.9,2.96,16.0,Colombo,20.0,15.17,12.9
2019-08-12,27.0,31.0,26.8,3.63,16.0,Colombo,16.0,17.96,6.5
2019-08-13,25.7,30.0,21.1,1.7,16.0,Colombo,24.0,8.1,44.3
2019-08-14,26.8,31.8,18.7,3.38,16.0,Colombo,16.0,17.3,11.6
2019-08-15,27.1,32.4,15.2,3.79,16.0,Colombo,13.0,19.4,6.7
2019-08-16,26.6,31.3,18.9,2.75,16.0,Colombo,21.0,13.69,18.5
2019-08-17,25.9,30.7,17.3,2.29,16.0,Colombo,22.0,11.06,12.6
2019-08-18,26.2,31.0,17.7,3.31,16.0,Colombo,20.0,17.09,7.6
2019-08-19,26.6,31.6,14.3,3.92,16.0,Colombo,11.0,20.23,2.3
2019-08-20,26.2,31.2,12.8,3.59,16.0,Colombo,21.0,18.5,11.4
2019-08-21,26.1,30.6,18.1,3.18,16.0,Colombo,20.0,16.43,17.3
2019-08-22,25.5,29.9,18.8,2.3,16.0,Colombo,23.0,11.71,19.1
2019-08-23,25.5,29.8,15.8,1.36,16.0,Colombo,23.0,5.34,13.7
2019-08-24,26.0,30.5,18.5,2.88,16.0,Colombo,18.0,14.53,7.1
2019-08-25,25.7,30.1,13.4,2.55,16.0,Colombo,20.0,12.68,10.9
2019-08-26,25.9,30.3,16.0,2.18,16.0,Colombo,18.0,10.08,6.8
2019-08-27,26.1,30.9,14.9,2.59,16.0,Colombo,12.0,12.61,3.4
2019-08-28,26.5,31.3,14.7,3.12,16.0,Colombo,14.0,15.34,5.1
2019-08-29,25.7,29.9,16.7,2.7,16.0,Colombo,24.0,13.65,25.6
2019-08-30,26.7,30.8,16.5,2.73,16.0,Colombo,11.0,11.79,5.9
2019-08-31,26.3,30.6,17.2,3.29,16.0,Colombo,13.0,16.44,3.2
2019-09-01,25.4,29.8,17.8,2.82,16.0,Colombo,22.0,15.04,7.2
2019-09-02,26.1,31.2,13.5,3.55,16.0,Colombo,14.0,18.56,4.0
2019-09-03,26.4,31.3,14.8,3.66,16.0,Colombo,16.0,18.66,4.4
2019-09-04,26.6,31.2,18.1,3.51,16.0,Colombo,15.0,17.88,3.1
2019-09-05,26.4,31.4,12.9,3.28,16.0,Colombo,13.0,16.48,2.8
2019-09-06,26.4,31.8,14.8,3.57,16.0,Colombo,14.0,18.45,3.5
2019-09-07,27.2,32.8,16.1,3.87,16.0,Colombo,8.0,19.77,1.0
2019-09-08,27.8,32.7,18.3,4.63,16.0,Colombo,13.0,22.72,2.0
2019-09-09,27.5,32.9,18.1,4.36,16.0,Colombo,8.0,22.08,1.8
2019-09-10,26.9,32.4,16.7,3.54,16.0,Colombo,16.0,18.11,6.1
2019-09-11,25.8,30.6,15.9,2.65,16.0,Colombo,20.0,13.39,15.0
2019-09-12,26.0,31.0,11.7,2.69,16.0,Colombo,19.0,13.59,12.3
2019-09-13,26.1,31.1,14.0,3.34,16.0,Colombo,14.0,17.0,7.9
2019-09-14,26.4,31.5,15.3,3.85,16.0,Colombo,11.0,19.95,2.8
2019-09-15,25.4,30.0,13.6,2.31,16.0,Colombo,19.0,11.5,17.4
2019-09-16,25.6,30.4,15.8,2.5,16.0,Colombo,23.0,12.87,25.1
2019-09-17,26.1,30.9,14.5,3.57,16.0,Colombo,18.0,18.89,5.1
2019-09-18,25.9,30.7,17.1,3.14,16.0,Colombo,18.0,16.79,5.4
2019-09-19,25.8,30.3,17.8,2.84,16.0,Colombo,22.0,14.57,10.3
2019-09-20,25.9,30.9,11.8,2.65,16.0,Colombo,10.0,13.23,5.2
2019-09-21,26.3,31.4,12.6,3.31,16.0,Colombo,21.0,16.56,7.6
2019-09-22,26.3,31.3,13.6,2.96,16.0,Colombo,18.0,14.46,18.7
2019-09-23,25.5,30.5,12.5,2.29,16.0,Colombo,23.0,11.46,32.1
2019-09-24,25.5,30.2,14.0,2.35,16.0,Colombo,24.0,11.69,28.4
2019-09-25,25.1,29.5,11.0,1.24,16.0,Colombo,16.0,4.82,16.4
2019-09-26,26.3,31.1,6.4,3.77,16.0,Colombo,1.0,18.57,0.6
2019-09-27,26.7,32.1,8.6,4.26,16.0,Colombo,5.0,20.52,1.2
2019-09-28,26.0,31.1,11.2,3.42,16.0,Colombo,12.0,16.69,7.0
2019-09-29,25.9,30.9,7.4,2.99,16.0,Colombo,16.0,14.24,6.6
2019-09-30,25.7,30.7,12.4,3.37,16.0,Colombo,9.0,16.98,7.9
2019-10-01,25.8,31.4,14.5,4.0,16.0,Colombo,10.0,20.37,10.0
2019-10-02,27.0,32.4,8.1,3.53,16.0,Colombo,3.0,16.87,1.0
2019-10-03,26.0,31.2,11.8,3.11,16.0,Colombo,19.0,15.2,23.4
2019-10-04,26.3,31.6,10.1,3.99,16.0,Colombo,15.0,20.15,9.2
2019-10-05,25.8,31.0,13.2,3.83,16.0,Colombo,14.0,19.34,7.1
2019-10-06,25.4,30.3,12.8,2.71,16.0,Colombo,21.0,13.65,17.7
2019-10-07,25.6,30.7,14.8,2.82,16.0,Colombo,23.0,14.16,13.1
2019-10-08,25.7,31.0,11.8,3.25,16.0,Colombo,14.0,16.32,9.3
2019-10-09,26.0,31.2,12.7,3.42,16.0,Colombo,18.0,17.36,13.2
2019-10-10,26.0,31.2,12.0,3.28,16.0,Colombo,9.0,16.35,4.9
2019-10-11,25.7,30.8,10.3,3.27,16.0,Colombo,17.0,16.2,11.6
2019-10-12,25.7,31.1,12.3,3.44,16.0,Colombo,9.0,17.32,10.0
2019-10-13,26.3,32.0,9.7,4.13,16.0,Colombo,16.0,20.54,54.7
2019-10-14,26.3,31.7,7.3,3.67,16.0,Colombo,17.0,17.47,36.3
2019-10-15,25.7,30.5,16.6,2.78,16.0,Colombo,20.0,13.89,60.4
2019-10-16,25.4,29.9,13.3,2.39,16.0,Colombo,23.0,11.54,13.8
2019-10-17,26.1,31.1,11.8,2.85,16.0,Colombo,6.0,13.53,1.8
2019-10-18,26.4,32.3,9.5,4.3,16.0,Colombo,11.0,21.11,5.4
2019-10-19,26.0,31.3,9.4,2.77,16.0,Colombo,12.0,13.59,11.1
2019-10-20,25.7,30.7,13.0,2.64,16.0,Colombo,20.0,13.02,71.1
2019-10-21,25.5,30.7,15.3,1.89,16.0,Colombo,19.0,9.29,17.4
2019-10-22,25.6,31.1,9.8,2.28,16.0,Colombo,19.0,10.94,8.9
2019-10-23,26.5,31.9,10.3,3.7,16.0,Colombo,11.0,18.28,5.0
2019-10-24,24.7,29.6,12.2,0.93,16.0,Colombo,18.0,3.74,21.7
2019-10-25,25.8,30.5,10.4,3.05,16.0,Colombo,12.0,14.61,3.9
2019-10-26,25.8,31.2,8.0,2.08,16.0,Colombo,14.0,9.86,6.2
2019-10-27,25.9,29.7,14.0,2.64,16.0,Colombo,5.0,11.46,11.1
2019-10-28,24.3,28.5,13.8,1.1,16.0,Colombo,15.0,5.16,18.8
2019-10-29,24.9,28.6,19.6,1.93,16.0,Colombo,19.0,8.53,23.6
2019-10-30,25.6,29.6,22.2,2.41,16.0,Colombo,13.0,11.34,10.5
2019-10-31,25.5,30.7,11.9,3.03,16.0,Colombo,10.0,15.39,4.1
2019-11-01,26.7,32.3,10.7,4.52,16.0,Colombo,1.0,22.36,0.3
2019-11-02,26.4,31.9,6.9,3.65,16.0,Colombo,11.0,17.72,5.3
2019-11-03,25.4,30.6,9.2,2.71,16.0,Colombo,16.0,13.19,10.0
2019-11-04,26.0,31.4,8.4,3.87,16.0,Colombo,7.0,19.25,3.5
2019-11-05,26.5,31.9,12.7,3.58,16.0,Colombo,9.0,17.96,5.4
2019-11-06,26.7,31.7,13.3,4.07,16.0,Colombo,8.0,19.97,1.2
2019-11-07,26.6,32.0,14.0,3.91,16.0,Colombo,13.0,19.65,5.8
2019-11-08,26.4,31.3,13.8,3.7,16.0,Colombo,16.0,18.45,6.7
2019-11-09,25.8,30.7,13.7,3.1,16.0,Colombo,9.0,16.15,2.7
2019-11-10,25.7,30.9,13.5,2.87,16.0,Colombo,15.0,14.76,15.4
2019-11-11,26.2,31.6,11.8,3.73,16.0,Colombo,9.0,18.44,3.4
2019-11-12,26.4,32.0,8.7,3.85,16.0,Colombo,5.0,19.07,6.4
